GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mybatis-guice,org.mybatis.guice.transactional,TransactionToken,11,39,0,0,5,15,3,7,3,7
mybatis-guice,org.mybatis.guice.transactional,Isolation,5,85,0,0,0,11,1,4,1,4
mybatis-guice,org.mybatis.guice.transactional,TransactionAttribute,16,69,0,0,3,7,5,2,5,2
mybatis-guice,org.mybatis.guice.transactional,XASqlSessionManagerProvider,0,9,0,0,0,2,0,2,0,2
mybatis-guice,org.mybatis.guice.transactional,TransactionAttribute.new TransactionAttribute() {...},17,6,2,0,3,1,2,1,1,1
mybatis-guice,org.mybatis.guice.transactional,TransactionAttribute.new TransactionAttribute() {...},15,6,2,0,3,1,2,1,1,1
mybatis-guice,org.mybatis.guice.transactional,TransactionAttribute.new TransactionAttribute() {...},27,6,4,0,7,1,4,1,2,1
mybatis-guice,org.mybatis.guice.transactional,TransactionAttribute.new TransactionAttribute() {...},0,42,0,6,0,10,0,6,0,3
mybatis-guice,org.mybatis.guice.transactional,TransactionAttribute.new TransactionAttribute() {...},14,58,1,7,6,17,1,6,0,3
mybatis-guice,org.mybatis.guice.transactional,TransactionAttribute.new TransactionAttribute() {...},18,6,2,0,3,1,2,1,1,1
mybatis-guice,org.mybatis.guice.transactional,XASqlSessionManager.GlobalKey,44,34,6,4,10,11,6,3,1,3
mybatis-guice,org.mybatis.guice.transactional,XASqlSessionManager.Token,45,106,7,15,5,29,7,8,0,4
mybatis-guice,org.mybatis.guice.transactional,XASqlSessionManager,1061,290,97,56,74,90,85,15,7,11
mybatis-guice,org.mybatis.guice.transactional,TxTransactionalMethodInterceptor,172,119,21,13,21,34,16,3,0,2
mybatis-guice,org.mybatis.guice.transactional,XASqlSessionManager.GlobalToken,56,74,6,8,5,20,5,6,0,4
mybatis-guice,org.mybatis.guice.transactional,MyBatisXAException,18,0,0,0,7,0,2,0,2,0
mybatis-guice,org.mybatis.guice.transactional,Transactional.TxType,5,73,0,0,0,7,1,3,1,3
mybatis-guice,org.mybatis.guice.transactional,TransactionalMethodInterceptor,319,259,22,32,17,56,19,14,1,5
mybatis-guice,org.mybatis.guice.environment,EnvironmentProvider,12,13,0,0,6,2,3,2,3,2
mybatis-guice,org.mybatis.guice.datasource.builtin,JndiDataSourceProvider,14,32,0,0,4,9,2,3,2,3
mybatis-guice,org.mybatis.guice.datasource.builtin,UnpooledDataSourceProvider,59,0,0,0,17,0,7,0,7,0
mybatis-guice,org.mybatis.guice.datasource.builtin,PooledDataSourceProvider,62,31,0,0,21,10,9,5,9,5
mybatis-guice,org.mybatis.guice.datasource.c3p0,C3p0DataSourceProvider,193,0,0,0,68,0,30,0,30,0
mybatis-guice,org.mybatis.guice.datasource.bonecp,BoneCPProvider,186,0,0,0,71,0,36,0,36,0
mybatis-guice,org.mybatis.guice.mappers,MapperProvider,4,12,0,0,2,4,1,2,1,2
mybatis-guice,org.mybatis.guice.type,TypeHandlerProvider,30,56,0,4,4,16,0,4,0,2
mybatis-guice,org.mybatis.guice.configuration,ConfigurationProvider,99,222,3,13,40,57,21,9,18,4
mybatis-guice,org.mybatis.guice.session,SqlSessionFactoryProvider,3,14,0,0,2,5,1,3,1,3
mybatis-guice,org.mybatis.guice.session,SqlSessionManagerProvider,7,11,0,0,3,5,1,3,1,3
mybatis-guice,org.mybatis.guice,MyBatisJtaModule.ProviderImpl,0,9,0,0,0,4,0,2,0,2
mybatis-guice,org.mybatis.guice,AbstractMyBatisModule.new AbstractMatcher() {...},0,11,0,2,0,2,0,3,0,2
mybatis-guice,org.mybatis.guice,MyBatisModule,334,413,56,22,72,86,64,23,26,22
mybatis-guice,org.mybatis.guice,Preconditions,389,9,51,3,84,6,44,3,17,3
mybatis-guice,org.mybatis.guice,AbstractMyBatisModule,19,110,0,0,4,22,2,7,2,7
mybatis-guice,org.mybatis.guice,XMLMyBatisModule,43,129,9,9,6,34,7,7,1,4
mybatis-guice,org.mybatis.guice,MyBatisModule.new TypeLiteral() {...},0,6,0,0,0,1,0,1,0,1
mybatis-guice,org.mybatis.guice,MyBatisModule.new TypeLiteral() {...},0,6,0,0,0,1,0,1,0,1
mybatis-guice,org.mybatis.guice,MyBatisModule.new TypeLiteral() {...},0,6,0,0,0,1,0,1,0,1
mybatis-guice,org.mybatis.guice,MyBatisModule.new TypeLiteral() {...},0,6,0,0,0,1,0,1,0,1
mybatis-guice,org.mybatis.guice,MyBatisModule.new TypeLiteral() {...},0,6,0,0,0,1,0,1,0,1
